Name,Surname,FinalScore
Name64003,Surname64003,1.08
Name12027,Surname12027,1.16
Name77779,Surname77779,1.16
Name99535,Surname99535,1.16
Name15784,Surname15784,1.24
Name31347,Surname31347,1.24
Name71903,Surname71903,1.24
Name83902,Surname83902,1.24
Name25742,Surname25742,1.32
Name43496,Surname43496,1.32
Name67788,Surname67788,1.32
Name74789,Surname74789,1.32
Name78313,Surname78313,1.32
Name86907,Surname86907,1.32
Name98739,Surname98739,1.32
Name19088,Surname19088,1.4
Name29735,Surname29735,1.4
Name33473,Surname33473,1.4
Name44386,Surname44386,1.4
Name57093,Surname57093,1.4
Name64037,Surname64037,1.4
Name65091,Surname65091,1.4
Name71548,Surname71548,1.4
Name73940,Surname73940,1.4
Name623,Surname623,1.48
Name4488,Surname4488,1.48
Name20531,Surname20531,1.48
Name22072,Surname22072,1.48
Name24632,Surname24632,1.48
Name32712,Surname32712,1.48
Name37427,Surname37427,1.48
Name48534,Surname48534,1.48
Name59157,Surname59157,1.48
Name62842,Surname62842,1.48
Name67089,Surname67089,1.48
Name78283,Surname78283,1.48
Name85538,Surname85538,1.48
Name90461,Surname90461,1.48
Name95685,Surname95685,1.48
Name98272,Surname98272,1.48
Name1902,Surname1902,1.56
Name3013,Surname3013,1.56
Name8428,Surname8428,1.56
Name12501,Surname12501,1.56
Name12775,Surname12775,1.56
Name17188,Surname17188,1.56
Name19817,Surname19817,1.56
Name21882,Surname21882,1.56
Name22565,Surname22565,1.56
Name22644,Surname22644,1.56
Name26384,Surname26384,1.56
Name26733,Surname26733,1.56
Name26889,Surname26889,1.56
Name29676,Surname29676,1.56
Name34930,Surname34930,1.56
Name35172,Surname35172,1.56
Name40133,Surname40133,1.56
Name43071,Surname43071,1.56
Name44485,Surname44485,1.56
Name46648,Surname46648,1.56
Name49640,Surname49640,1.56
Name49892,Surname49892,1.56
Name53403,Surname53403,1.56
Name56649,Surname56649,1.56
Name62799,Surname62799,1.56
Name69842,Surname69842,1.56
Name75705,Surname75705,1.56
Name75986,Surname75986,1.56
Name79041,Surname79041,1.56
Name80779,Surname80779,1.56
Name81098,Surname81098,1.56
Name81586,Surname81586,1.56
Name85842,Surname85842,1.56
Name86518,Surname86518,1.56
Name87661,Surname87661,1.56
Name92749,Surname92749,1.56
Name99370,Surname99370,1.56
Name432,Surname432,1.64
Name1081,Surname1081,1.64
Name4205,Surname4205,1.64
Name6690,Surname6690,1.64
Name7868,Surname7868,1.64
Name11199,Surname11199,1.64
Name21095,Surname21095,1.64
Name26201,Surname26201,1.64
Name26594,Surname26594,1.64
Name27555,Surname27555,1.64
Name28571,Surname28571,1.64
Name36442,Surname36442,1.64
Name46687,Surname46687,1.64
Name48192,Surname48192,1.64
Name50984,Surname50984,1.64
Name54508,Surname54508,1.64
Name55233,Surname55233,1.64
Name55476,Surname55476,1.64
Name57072,Surname57072,1.64
Name58893,Surname58893,1.64
Name61178,Surname61178,1.64
Name64621,Surname64621,1.64
Name66815,Surname66815,1.64
Name67166,Surname67166,1.64
Name67912,Surname67912,1.64
Name71212,Surname71212,1.64
Name76840,Surname76840,1.64
Name78273,Surname78273,1.64
Name79208,Surname79208,1.64
Name80844,Surname80844,1.64
Name81973,Surname81973,1.64
Name82243,Surname82243,1.64
Name84283,Surname84283,1.64
Name85383,Surname85383,1.64
Name86303,Surname86303,1.64
Name87967,Surname87967,1.64
Name88226,Surname88226,1.64
Name91520,Surname91520,1.64
Name92241,Surname92241,1.64
Name96974,Surname96974,1.64
Name97469,Surname97469,1.64
Name98755,Surname98755,1.64
Name718,Surname718,1.72
Name1259,Surname1259,1.72
Name1623,Surname1623,1.72
Name3413,Surname3413,1.72
Name4065,Surname4065,1.72
Name5419,Surname5419,1.72
Name5759,Surname5759,1.72
Name6504,Surname6504,1.72
Name9651,Surname9651,1.72
Name11590,Surname11590,1.72
Name13259,Surname13259,1.72
