Name,Surname,FinalScore
Name936,Surname936,5
Name916,Surname916,5
Name123,Surname123,5
Name977,Surname977,5
Name56,Surname56,5
Name371,Surname371,5.04
Name331,Surname331,5.04
Name31,Surname31,5.04
Name715,Surname715,5.04
Name459,Surname459,5.08
Name980,Surname980,5.08
Name609,Surname609,5.08
Name822,Surname822,5.08
Name714,Surname714,5.08
Name740,Surname740,5.08
Name887,Surname887,5.08
Name361,Surname361,5.08
Name506,Surname506,5.08
Name179,Surname179,5.12
Name921,Surname921,5.12
Name996,Surname996,5.12
Name51,Surname51,5.12
Name703,Surname703,5.12
Name10,Surname10,5.12
Name58,Surname58,5.12
Name535,Surname535,5.16
Name792,Surname792,5.16
Name251,Surname251,5.16
Name709,Surname709,5.16
Name68,Surname68,5.16
Name960,Surname960,5.16
Name271,Surname271,5.2
Name469,Surname469,5.2
Name773,Surname773,5.2
Name38,Surname38,5.2
Name42,Surname42,5.2
Name998,Surname998,5.2
Name34,Surname34,5.2
Name920,Surname920,5.2
Name696,Surname696,5.2
Name400,Surname400,5.24
Name713,Surname713,5.24
Name976,Surname976,5.24
Name102,Surname102,5.24
Name513,Surname513,5.24
Name91,Surname91,5.24
Name693,Surname693,5.28
Name317,Surname317,5.28
Name379,Surname379,5.28
Name435,Surname435,5.28
Name170,Surname170,5.28
Name944,Surname944,5.28
Name839,Surname839,5.32
Name417,Surname417,5.32
Name416,Surname416,5.32
Name121,Surname121,5.32
Name230,Surname230,5.32
Name898,Surname898,5.32
Name126,Surname126,5.32
Name894,Surname894,5.36
Name26,Surname26,5.36
Name447,Surname447,5.36
Name501,Surname501,5.36
Name484,Surname484,5.36
Name318,Surname318,5.4
Name549,Surname549,5.4
Name763,Surname763,5.4
Name732,Surname732,5.4
Name923,Surname923,5.44
Name209,Surname209,5.44
Name321,Surname321,5.44
Name688,Surname688,5.44
Name452,Surname452,5.44
Name776,Surname776,5.44
Name928,Surname928,5.44
Name927,Surname927,5.44
Name54,Surname54,5.44
Name433,Surname433,5.44
Name779,Surname779,5.48
Name545,Surname545,5.48
Name584,Surname584,5.48
Name855,Surname855,5.48
Name603,Surname603,5.48
Name413,Surname413,5.52
Name796,Surname796,5.52
Name885,Surname885,5.52
Name577,Surname577,5.52
Name812,Surname812,5.52
Name72,Surname72,5.52
Name151,Surname151,5.56
Name560,Surname560,5.56
Name689,Surname689,5.56
Name1,Surname1,5.56
Name692,Surname692,5.56
Name189,Surname189,5.56
Name40,Surname40,5.56
Name591,Surname591,5.6
Name599,Surname599,5.6
Name167,Surname167,5.6
Name188,Surname188,5.6
Name3,Surname3,5.6
Name456,Surname456,5.64
Name589,Surname589,5.64
Name207,Surname207,5.64
Name80,Surname80,5.64
Name370,Surname370,5.64
Name97,Surname97,5.64
Name492,Surname492,5.64
Name115,Surname115,5.68
Name161,Surname161,5.68
Name838,Surname838,5.68
Name241,Surname241,5.68
Name204,Surname204,5.68
Name666,Surname666,5.68
Name546,Surname546,5.72
Name704,Surname704,5.72
Name683,Surname683,5.72
Name832,Surname832,5.72
Name809,Surname809,5.72
Name837,Surname837,5.72
Name180,Surname180,5.76
Name806,Surname806,5.76
Name45,Surname45,5.76
Name794,Surname794,5.76
Name608,Surname608,5.76
Name798,Surname798,5.76
Name85,Surname85,5.76
Name15,Surname15,5.76
Name103,Surname103,5.8
Name437,Surname437,5.8
Name221,Surname221,5.8
Name799,Surname799,5.8
Name612,Surname612,5.8
Name741,Surname741,5.8
Name198,Surname198,5.8
Name340,Surname340,5.8
Name534,Surname534,5.8
Name450,Surname450,5.8
Name173,Surname173,5.8
Name264,Surname264,5.8
Name304,Surname304,5.84
