Name,Surname,Homework1,Homework2,Homework3,Homework4,Homework5,Exam
Name1,Surname1,4,2,5,8,7,10
Name2,Surname2,5,9,8,5,10,7
Name3,Surname3,7,7,10,4,4,3
Name4,Surname4,8,1,6,8,7,5
Name5,Surname5,10,8,5,8,5,3
Name6,Surname6,10,8,2,6,2,2
Name7,Surname7,5,1,2,6,1,8
Name8,Surname8,1,8,1,8,3,5
Name9,Surname9,5,8,3,6,3,3
Name10,Surname10,8,8,4,6,7,3
Name11,Surname11,3,8,6,5,3,2
Name12,Surname12,4,7,2,4,5,9
Name13,Surname13,2,4,9,7,10,3
Name14,Surname14,5,4,5,4,4,3
Name15,Surname15,4,6,7,6,5,8
Name16,Surname16,3,2,9,6,1,2
Name17,Surname17,8,4,7,5,7,8
Name18,Surname18,8,6,4,7,6,1
Name19,Surname19,7,5,4,10,4,6
Name20,Surname20,9,8,1,2,8,10
Name21,Surname21,1,2,7,9,6,1
Name22,Surname22,8,1,7,4,10,9
Name23,Surname23,7,7,6,7,9,4
Name24,Surname24,2,1,4,5,2,1
Name25,Surname25,6,4,9,7,5,9
Name26,Surname26,8,8,9,5,10,5
Name27,Surname27,9,7,3,9,2,10
Name28,Surname28,3,3,6,8,1,10
Name29,Surname29,3,4,9,7,6,9
Name30,Surname30,3,2,1,9,2,10
Name31,Surname31,5,4,2,5,6,2
Name32,Surname32,1,1,4,3,4,5
Name33,Surname33,1,6,1,6,1,6
Name34,Surname34,8,5,5,8,10,6
Name35,Surname35,5,2,4,7,8,1
Name36,Surname36,5,9,5,5,4,2
Name37,Surname37,8,1,10,10,3,5
Name38,Surname38,9,9,8,5,4,1
Name39,Surname39,2,4,8,6,5,3
Name40,Surname40,1,10,3,6,10,1
Name41,Surname41,3,7,8,7,4,6
Name42,Surname42,7,1,9,10,2,8
Name43,Surname43,9,6,10,6,9,1
Name44,Surname44,10,9,6,2,7,9
Name45,Surname45,10,10,3,10,2,9
Name46,Surname46,8,9,8,5,3,3
Name47,Surname47,1,6,10,6,7,9
Name48,Surname48,10,4,6,9,9,2
Name49,Surname49,5,9,3,6,9,1
Name50,Surname50,3,6,6,10,2,10
Name51,Surname51,9,9,8,10,6,9
Name52,Surname52,2,7,3,4,6,2
Name53,Surname53,4,8,6,6,4,1
Name54,Surname54,4,1,2,5,3,5
Name55,Surname55,9,6,6,10,8,10
Name56,Surname56,6,7,10,2,3,6
Name57,Surname57,9,7,7,5,2,3
Name58,Surname58,7,7,10,2,6,5
Name59,Surname59,5,10,3,9,1,3
Name60,Surname60,2,10,9,1,2,2
Name61,Surname61,4,9,4,5,8,9
Name62,Surname62,2,1,8,1,3,8
Name63,Surname63,3,10,2,7,10,3
Name64,Surname64,2,3,7,3,6,9
Name65,Surname65,2,1,3,8,6,3
Name66,Surname66,5,6,6,6,7,8
Name67,Surname67,4,5,5,7,2,7
Name68,Surname68,4,9,9,3,3,9
Name69,Surname69,1,10,10,2,2,2
Name70,Surname70,6,7,3,10,4,5
Name71,Surname71,8,4,10,10,8,6
Name72,Surname72,4,8,7,8,5,7
Name73,Surname73,2,3,1,5,5,3
Name74,Surname74,4,7,5,2,9,4
Name75,Surname75,1,5,3,3,8,8
Name76,Surname76,5,6,3,2,10,5
Name77,Surname77,9,4,5,7,7,7
Name78,Surname78,9,10,10,4,10,8
Name79,Surname79,2,4,4,4,8,8
Name80,Surname80,2,2,9,6,9,7
Name81,Surname81,7,7,5,7,8,10
Name82,Surname82,5,4,10,6,1,4
Name83,Surname83,4,10,5,3,10,5
Name84,Surname84,10,4,10,5,2,8
Name85,Surname85,2,3,8,3,9,1
Name86,Surname86,10,9,6,4,10,3
Name87,Surname87,2,7,10,3,4,1
Name88,Surname88,3,8,5,1,3,8
Name89,Surname89,10,8,4,2,6,1
Name90,Surname90,10,6,5,9,6,4
Name91,Surname91,5,2,4,10,3,1
Name92,Surname92,6,3,4,8,6,2
Name93,Surname93,6,8,3,5,5,3
Name94,Surname94,3,1,4,4,10,4
Name95,Surname95,3,7,6,8,8,7
Name96,Surname96,10,10,2,5,5,6
Name97,Surname97,9,4,7,10,2,1
Name98,Surname98,7,2,2,1,6,1
Name99,Surname99,2,9,6,10,9,6
Name100,Surname100,7,2,9,8,8,2
